StudentID	HW1	HW2	HW3	Midterm	Final	Attend	Total	Grade
S2021_S21	10	10	10	24	24.375	10	88.375	A+
S2021_S32	9	9	9	25	26.25	10	88.25	A+
S2021_S18	9	10	10	23.33333333	22.875	10	85.20833333	A+
S2021_S15	10	9	10	26	18.75	10	83.75	A+
S2021_S1	10	10	10	12	30	10	82	A+
S2021_S17	9	10	10	16.66666667	24.375	10	80.04166667	A+
S2021_S31	9	10	8	22.33333333	16.875	10	76.20833333	A+
S2021_S3	10	10	10	15	20.625	10	75.625	A+
S2021_S38	8	8	10	20.33333333	19.125	10	75.45833333	A+
S2021_S20	8	10	10	17	19.5	10	74.5	A+
S2021_S36	9	8	3	19.33333333	24.375	10	73.70833333	A+
S2021_S5	10	8	10	12.33333333	20.625	10	70.95833333	A+
S2021_S29	9	8	5	22	16.875	10	70.875	B+
S2021_S42	9	10	10	30	1.875	10	70.875	B+
S2021_S33	10	9	6	15.66666667	18.75	10	69.41666667	B+
S2021_S19	9	8	9	19.33333333	13.5	10	68.83333333	B+
S2021_S23	9	7	10	19.66666667	11.25	10	66.91666667	B+
S2021_S16	9	9	10	9	19.125	10	66.125	B+
S2021_S6	10	9	10	11.66666667	15	10	65.66666667	B+
S2021_S25	9	10	10	7.666666667	18.75	10	65.41666667	B+
S2021_S37	10	10	8	9.666666667	17.25	10	64.91666667	B+
S2021_S13	10	10	6	19.66666667	7.5	10	63.16666667	B+
S2021_S39	9	6	8	18.33333333	11.25	10	62.58333333	B+
S2021_S8	9	9	10	17.33333333	3.75	10	59.08333333	B+
S2021_S9	9	10	3	15	11.25	10	58.25	B+
S2021_S35	10	7	5	16	9.375	10	57.375	B+
S2021_S30	9	6	6	19.33333333	5.625	10	55.95833333	C+
S2021_S43	9	6	9	10	11.25	10	55.25	C+
S2021_S14	9	10	5	13.66666667	7.5	10	55.16666667	C+
S2021_S41	10	10	9	7	8.625	10	54.625	C+
S2021_S10	9	6	6	9.333333333	15	8	53.33333333	C+
S2021_S22	10	0	0	17.33333333	13.125	10	50.45833333	C+
S2021_S28	9	6	0	13.33333333	5.625	10	43.95833333	C+
S2021_S11	9	9	6	3.666666667	5.625	10	43.29166667	C+
S2021_S26	10	5	0	17	0	10	42	C+
S2021_S34	9	9	1	5	7.5	10	41.5	C+
S2021_S7	7	0	0	19.33333333	0	10	36.33333333	C
S2021_S40	8	0	0	8	9.375	10	35.375	C
S2021_S24	8	0	0	13.33333333	0	10	31.33333333	C
S2021_S4	8	0	0	9	0	10	27	C
S2021_S27	5	6	0	1.666666667	0	10	22.66666667	C
S2021_S2	9	0	0	5.666666667	1.875	6	22.54166667	D+
S2021_S12	0	0	0	10.66666667	0	10	20.66666667	F
