StudentID	HW1	HW2	HW3	Midterm	Sum_HW123_Midterm
S2022_S18	9.5	8.947368421	10	29.27710843	57.72447685
S2022_S42	9.5	8.421052632	9.523809524	30	57.44486216
S2022_S16	10	8.947368421	9.428571429	25.30120482	53.67714467
S2022_S30	9.5	8.947368421	8.571428571	25.6626506	52.68144759
S2022_S6	8	9.368421053	8.095238095	26.38554217	51.84920132
S2022_S11	9.3	6.842105263	8.571428571	26.74698795	51.46052179
S2022_S17	9.5	8.421052632	10	21.68674699	49.60779962
S2022_S8	7.3	7.894736842	9.047619048	24.93975904	49.18211493
S2022_S41	10	9.473684211	9.142857143	19.87951807	48.49605943
S2022_S32	9	9.473684211	2.857142857	25.6626506	46.99347767
S2022_S12	10	10	7.333333333	18.07228916	45.40562249
S2022_S28	9.5	8.421052632	7.619047619	18.79518072	44.33528097
S2022_S15	9.5	8.947368421	3.80952381	21.68674699	43.94363922
S2022_S31	8.5	10	3.333333333	21.3253012	43.15863454
S2022_S43	10	8.421052632	9.523809524	11.20481928	39.14968143
S2022_S45	9.5	9.157894737	7.142857143	11.20481928	37.00557116
S2022_S3	2	8.421052632	4.761904762	21.3253012	36.5082586
S2022_S19	9.3	9.473684211	3.619047619	11.92771084	34.32044267
S2022_S2	4.5	4.210526316	2.285714286	21.68674699	32.68298759
S2022_S29	7	2.105263158	0	21.3253012	30.43056436
S2022_S20	8.8	6.315789474	3.80952381	9.036144578	27.96145786
S2022_S9	9	2.631578947	0	13.37349398	25.00507292
S2022_S27	2.5	4.736842105	0	17.71084337	24.94768548
S2022_S10	4.5	7.368421053	0	12.65060241	24.51902346
S2022_S39	6.1	0	0	18.07228916	24.17228916
S2022_S24	5	7.894736842	8.476190476	1.807228916	23.17815623
S2022_S38	0.5	2.105263158	2.380952381	14.81927711	19.80549265
S2022_S4	6	3.684210526	0	9.397590361	19.08180089
S2022_S7	4	5.263157895	3.142857143	6.506024096	18.91203913
S2022_S25	4	0	0	14.81927711	18.81927711
S2022_S22	0	0	0	17.71084337	17.71084337
S2022_S1	0	0.526315789	0	11.92771084	12.45402663
S2022_S26	0	0	0	11.92771084	11.92771084
S2022_S40	0	0	0.095238095	9.759036145	9.85427424
S2022_S44	1.5	2.631578947	0.095238095	5.060240964	9.287058006
S2022_S21	0	0	0	8.313253012	8.313253012
S2022_S34	0	0	0	7.951807229	7.951807229
S2022_S23	0	0	2.857142857	4.698795181	7.555938038
S2022_S37	0	0	0	7.228915663	7.228915663
S2022_S47	0	0	0	6.506024096	6.506024096
S2022_S13	0	0	0	5.78313253	5.78313253
S2022_S33	0	0.526315789	0	0	0.526315789
S2022_S5	0	0	0	0	0
S2022_S14	0	0	0	0	0
S2022_S35	0	0	0	0	0
S2022_S36	0	0	0	0	0
S2022_S46	0	0	0	0	0
